\ Created 2021 May 30 by Nadia Zakamska 
\ Wavelengths are assumed to be in vacuum! 
\ Data Source 1: JWST H_2 lines between 1 and 2.5 microns from this link: 
\ https://github.com/spacetelescope/jdaviz/tree/main/jdaviz/data/linelists 
\ H2_alt.csv file; one typo corrected (the line marked as 2-9 Q(1) replaced with 2-0 Q(1)) 
\ Data Source 2: ISO H_2 lines from 2.5 microns onwards from this link: 
\ https://www.mpe.mpg.de/ir/ISO/linelists, file H2.html 
\ The original precision for wavelength is maintained. 
|                    name|          lines|                linelab|
|                    char|          float|                   char|
|                        |         micron|                       |
|                    null|           null|                   null|
                 H2_76_Q4         3.67171     H$_2$(7-6) Q(4) 
                H2_97_O12         3.67404    H$_2$(9-7) O(12) 
                 H2_98_S2         3.67637     H$_2$(9-8) S(2) 
                H2_86_O14         3.68037    H$_2$(8-6) O(14) 
                H2_65_Q10         3.69257    H$_2$(6-5) Q(10) 
               H2_1210_O4         3.69825   H$_2$(12-10) O(4) 
                 H2_76_Q5         3.71133     H$_2$(7-6) Q(5) 
                H2_54_Q14         3.72152    H$_2$(5-4) Q(14) 
                H2_75_O16         3.72254    H$_2$(7-5) O(16) 
                 H2_21_O6         3.72370     H$_2$(2-1) O(6) 
                H2_00_S14         3.72558    H$_2$(0-0) S(14) 
               H2_108_O10         3.73025   H$_2$(10-8) O(10) 
               H2_1210_Q7         3.75487   H$_2$(12-10) Q(7) 
                 H2_76_Q6         3.75978     H$_2$(7-6) Q(6) 
                H2_109_S7         3.76586    H$_2$(10-9) S(7) 
                H2_109_S8         3.77099    H$_2$(10-9) S(8) 
                H2_65_Q11         3.77514    H$_2$(6-5) Q(11) 
               H2_1411_O4         3.78363   H$_2$(14-11) O(4) 
                H2_109_S6         3.78909    H$_2$(10-9) S(6) 
                H2_109_S9         3.80704    H$_2$(10-9) S(9) 
                 H2_10_O7         3.80740     H$_2$(1-0) O(7) 
               H2_129_O12         3.81614   H$_2$(12-9) O(12) 
                 H2_76_Q7         3.81761     H$_2$(7-6) Q(7) 
                H2_54_Q15         3.82686    H$_2$(5-4) Q(15) 
                 H2_98_S1         3.83189     H$_2$(9-8) S(1) 
                H2_109_S5         3.83969    H$_2$(10-9) S(5) 
                H2_00_S13         3.84723    H$_2$(0-0) S(13) 
               H2_1311_S1         3.85591   H$_2$(13-11) S(1) 
               H2_1311_S3         3.86394   H$_2$(13-11) S(3) 
                H2_65_Q12         3.86872    H$_2$(6-5) Q(12) 
               H2_109_S10         3.87884   H$_2$(10-9) S(10) 
                H2_119_O8         3.87939    H$_2$(11-9) O(8) 
                 H2_76_Q8         3.88556     H$_2$(7-6) Q(8) 
                 H2_54_O4         3.89141     H$_2$(5-4) O(4) 
                 H2_65_O3         3.90028     H$_2$(6-5) O(3) 
               H2_1311_S0         3.91259   H$_2$(13-11) S(0) 
               H2_1310_O9         3.91470   H$_2$(13-10) O(9) 
                 H2_43_O5         3.91725     H$_2$(4-3) O(5) 
                H2_109_S4         3.91784    H$_2$(10-9) S(4) 
               H2_1210_O5         3.92190   H$_2$(12-10) O(5) 
               H2_1311_S4         3.94062   H$_2$(13-11) S(4) 
                 H2_87_Q1         3.94148     H$_2$(8-7) Q(1) 
                 H2_76_O2         3.95108     H$_2$(7-6) O(2) 
                 H2_87_Q2         3.96061     H$_2$(8-7) Q(2) 
                 H2_76_Q9         3.96457     H$_2$(7-6) Q(9) 
                H2_97_O13         3.96817    H$_2$(9-7) O(13) 
                 H2_32_O6         3.97199     H$_2$(3-2) O(6) 
                H2_65_Q13         3.97465    H$_2$(6-5) Q(13) 
                H2_86_O15         3.97921    H$_2$(8-6) O(15) 
               H2_1210_Q8         3.97990   H$_2$(12-10) Q(8) 
               H2_119_Q12         3.98141   H$_2$(11-9) Q(12) 
                 H2_87_Q3         3.98961     H$_2$(8-7) Q(3) 
               H2_109_S11         3.99475   H$_2$(10-9) S(11) 
                H2_00_S12         3.99692    H$_2$(0-0) S(12) 
                 H2_98_S0         4.01835     H$_2$(9-8) S(0) 
                H2_75_O17         4.02160    H$_2$(7-5) O(17) 
                H2_109_S3         4.02471    H$_2$(10-9) S(3) 
               H2_108_O11         4.02771   H$_2$(10-8) O(11) 
                 H2_87_Q4         4.02885     H$_2$(8-7) Q(4) 
                 H2_21_O7         4.05403     H$_2$(2-1) O(7) 
                H2_76_Q10         4.05584    H$_2$(7-6) Q(10) 
                H2_11_S13         4.06766    H$_2$(1-1) S(13) 
               H2_1411_O5         4.07780   H$_2$(14-11) O(5) 
                 H2_87_Q5         4.07887     H$_2$(8-7) Q(5) 
               H2_1311_S5         4.08427   H$_2$(13-11) S(5) 
               H2_1311_Q1         4.09084   H$_2$(13-11) Q(1) 
                H2_65_Q14         4.09465    H$_2$(6-5) Q(14) 
                 H2_87_Q6         4.14040     H$_2$(8-7) Q(6) 
               H2_1311_Q2         4.15837   H$_2$(13-11) Q(2) 
                H2_76_Q11         4.16096    H$_2$(7-6) Q(11) 
                 H2_10_O8         4.16239     H$_2$(1-0) O(8) 
               H2_109_S12         4.16899   H$_2$(10-9) S(12) 
                H2_00_S11         4.18150    H$_2$(0-0) S(11) 
                H2_119_O9         4.18750    H$_2$(11-9) O(9) 
