# wl(um)  tau
 14.8341  0.00000e+00
 14.8456  0.00000e+00
 14.8570  0.00000e+00
 14.8684  0.00000e+00
 14.8798  0.00000e+00
 14.8913  0.00000e+00
 14.9028  0.00000e+00
 14.9142  0.00000e+00
 14.9257  0.00000e+00
 14.9372  0.00000e+00
 14.9487  0.00000e+00
 14.9602  0.00000e+00
 14.9717  0.00000e+00
 14.9832  0.00000e+00
 14.9948  0.00000e+00
 15.0063  0.00000e+00
 15.0178  0.00000e+00
 15.0294  0.00000e+00
 15.0410  0.00000e+00
 15.0525  0.00000e+00
 15.0641  0.00000e+00
 15.0757  0.00000e+00
 15.0873  0.00000e+00
 15.0989  0.00000e+00
 15.1105  0.00000e+00
 15.1222  0.00000e+00
 15.1338  0.00000e+00
 15.1455  0.00000e+00
 15.1571  0.00000e+00
 15.1688  0.00000e+00
 15.1804  0.00000e+00
 15.1921  0.00000e+00
 15.2038  0.00000e+00
 15.2155  0.00000e+00
 15.2272  0.00000e+00
 15.2389  0.00000e+00
 15.2507  0.00000e+00
 15.2624  0.00000e+00
 15.2741  0.00000e+00
 15.2859  0.00000e+00
 15.2977  0.00000e+00
 15.3094  0.00000e+00
 15.3212  0.00000e+00
 15.3330  0.00000e+00
 15.3448  0.00000e+00
 15.3566  0.00000e+00
 15.3684  0.00000e+00
 15.3803  0.00000e+00
 15.3921  0.00000e+00
 15.4039  0.00000e+00
 15.4158  0.00000e+00
 15.4277  0.00000e+00
 15.4395  0.00000e+00
 15.4514  0.00000e+00
 15.4633  0.00000e+00
 15.4752  0.00000e+00
 15.4871  0.00000e+00
 15.4990  0.00000e+00
 15.5110  0.00000e+00
 15.5229  0.00000e+00
 15.5348  0.00000e+00
 15.5468  0.00000e+00
 15.5588  0.00000e+00
 15.5707  0.00000e+00
 15.5827  0.00000e+00
 15.5947  0.00000e+00
 15.6067  0.00000e+00
 15.6187  0.00000e+00
 15.6307  0.00000e+00
 15.6428  0.00000e+00
 15.6548  0.00000e+00
 15.6668  0.00000e+00
 15.6789  0.00000e+00
 15.6910  0.00000e+00
 15.7030  0.00000e+00
 15.7151  0.00000e+00
 15.7272  0.00000e+00
 15.7393  0.00000e+00
 15.7514  0.00000e+00
 15.7635  0.00000e+00
 15.7757  0.00000e+00
 15.7878  0.00000e+00
 15.8000  0.00000e+00
 15.8121  0.00000e+00
 15.8243  0.00000e+00
 15.8365  0.00000e+00
 15.8487  0.00000e+00
 15.8609  0.00000e+00
 15.8731  0.00000e+00
 15.8853  0.00000e+00
 15.8975  0.00000e+00
 15.9097  0.00000e+00
 15.9220  0.00000e+00
 15.9342  0.00000e+00
 15.9465  0.00000e+00
 15.9588  0.00000e+00
 15.9710  0.00000e+00
 15.9833  0.00000e+00
 15.9956  0.00000e+00
 16.0079  0.00000e+00
 16.0203  0.00000e+00
 16.0326  0.00000e+00
 16.0449  0.00000e+00
 16.0573  0.00000e+00
 16.0696  0.00000e+00
 16.0820  0.00000e+00
 16.0944  0.00000e+00
 16.1068  0.00000e+00
 16.1192  0.00000e+00
 16.1316  0.00000e+00
 16.1440  0.00000e+00
 16.1564  0.00000e+00
 16.1688  0.00000e+00
 16.1813  0.00000e+00
 16.1937  0.00000e+00
 16.2062  0.00000e+00
 16.2186  0.00000e+00
 16.2311  0.00000e+00
 16.2436  0.00000e+00
 16.2561  0.00000e+00
 16.2686  0.00000e+00
 16.2812  0.00000e+00
 16.2937  0.00000e+00
 16.3062  0.00000e+00
 16.3188  0.00000e+00
 16.3313  0.00000e+00
 16.3439  0.00000e+00
 16.3565  0.00000e+00
 16.3691  0.00000e+00
 16.3816  0.00000e+00
 16.3943  0.00000e+00
 16.4069  0.00000e+00
 16.4195  0.00000e+00
 16.4321  0.00000e+00
 16.4448  0.00000e+00
 16.4574  0.00000e+00
 16.4701  0.00000e+00
 16.4828  0.00000e+00
 16.4955  0.00000e+00
 16.5082  0.00000e+00
 16.5209  0.00000e+00
 16.5336  0.00000e+00
 16.5463  0.00000e+00
 16.5590  0.00000e+00
 16.5718  0.00000e+00
 16.5845  0.00000e+00
 16.5973  0.00000e+00
 16.6101  0.00000e+00
 16.6228  0.00000e+00
 16.6356  0.00000e+00
 16.6484  0.00000e+00
 16.6612  0.00000e+00
 16.6741  0.00000e+00
 16.6869  0.00000e+00
 16.6997  0.00000e+00
 16.7126  0.00000e+00
 16.7254  0.00000e+00
 16.7383  0.00000e+00
 16.7512  0.00000e+00
 16.7641  0.00000e+00
 16.7770  0.00000e+00
 16.7899  0.00000e+00
 16.8028  0.00000e+00
 16.8157  0.00000e+00
 16.8287  0.00000e+00
 16.8416  0.00000e+00
 16.8546  0.00000e+00
 16.8676  0.00000e+00
 16.8805  0.00000e+00
 16.8935  0.00000e+00
 16.9065  0.00000e+00
 16.9195  0.00000e+00
 16.9326  0.00000e+00
 16.9456  0.00000e+00
 16.9586  0.00000e+00
 16.9717  0.00000e+00
 16.9847  0.00000e+00
 16.9978  0.00000e+00
 17.0109  0.00000e+00
 17.0240  0.00000e+00
 17.0371  0.00000e+00
 17.0502  0.00000e+00
 17.0633  0.00000e+00
 17.0765  0.00000e+00
 17.0896  0.00000e+00
 17.1027  0.00000e+00
 17.1159  0.00000e+00
 17.1291  0.00000e+00
 17.1423  0.00000e+00
 17.1554  0.00000e+00
 17.1686  0.00000e+00
 17.1819  0.00000e+00
 17.1951  0.00000e+00
 17.2083  0.00000e+00
 17.2162  0.00000e+00
 17.2305  0.00000e+00
 17.2449  0.00000e+00
 17.2593  0.00000e+00
 17.2737  0.00000e+00
 17.2881  0.00000e+00
 17.3025  0.00000e+00
 17.3169  0.00000e+00
 17.3313  0.00000e+00
 17.3458  0.00000e+00
 17.3603  0.00000e+00
 17.3747  0.00000e+00
 17.3892  0.00000e+00
 17.4037  0.00000e+00
 17.4182  0.00000e+00
 17.4327  0.00000e+00
 17.4473  0.00000e+00
 17.4618  0.00000e+00
 17.4764  0.00000e+00
 17.4909  0.00000e+00
 17.5055  0.00000e+00
 17.5201  0.00000e+00
 17.5347  0.00000e+00
 17.5493  0.00000e+00
 17.5640  0.00000e+00
